StartOfMonth,Season,State,Average State Income,Contact Method,Age Group,Gender,Scam Category,Scam Type,Amount_lost,Number_of_reports
1/1/2024,Summer,South Australia,1776.9,Text message,Under 18,Female,Attempts to gain your personal information,Phishing,$3.50,2
1/3/2024,Autumn,Australian Capital Territory,2126.5,Text message,18 - 24,Female,Attempts to gain your personal information,Phishing,$7197.00,2
1/2/2024,Summer,Northern Territory,1845.8,Phone call,45 - 54,Female,Attempts to gain your personal information,Phishing,$450.00,3
1/5/2024,Autumn,Australian Capital Territory,2126.5,Phone call,18 - 24,Female,Attempts to gain your personal information,Phishing,$70000.00,2
1/6/2024,Winter,Australian Capital Territory,2126.5,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$24688.00,5
1/1/2024,Summer,Tasmania,1710.8,Email,35 - 44,Female,Attempts to gain your personal information,Phishing,$385.00,2
1/1/2024,Summer,Victoria,1882,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$1400.00,2
1/3/2024,Autumn,Victoria,1882,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$600.00,5
1/6/2024,Winter,Victoria,1882,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$600.00,2
1/1/2024,Summer,Western Australia,2094.3,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$830.00,2
1/3/2024,Autumn,Western Australia,2094.3,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$500.00,3
1/5/2024,Autumn,Queensland,1901,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$500.00,4
1/5/2024,Autumn,South Australia,1776.9,Email,18 - 24,Female,Attempts to gain your personal information,Phishing,$13544.37,3
1/1/2024,Summer,Australian Capital Territory,2126.5,Email,18 - 24,Male,Attempts to gain your personal information,Phishing,$10000.00,2
1/1/2024,Summer,New South Wales,1935.7,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$12500.00,5
1/3/2024,Autumn,New South Wales,1935.7,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$3491.70,3
1/6/2024,Winter,New South Wales,1935.7,Mobile apps,25 - 34,Male,Attempts to gain your personal information,Phishing,$436.94,11
1/6/2024,Winter,New South Wales,1935.7,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$1.00,2
1/1/2024,Summer,New South Wales,1935.7,Internet,25 - 34,Female,Attempts to gain your personal information,Phishing,$145.00,2
1/3/2024,Autumn,New South Wales,1935.7,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$340.00,2
1/1/2024,Summer,New South Wales,1935.7,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$3846.00,3
1/1/2024,Summer,New South Wales,1935.7,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$351.00,2
1/1/2024,Summer,New South Wales,1935.7,Social media/Online forums,45 - 54,Female,Attempts to gain your personal information,Phishing,$4216.00,2
1/4/2024,Autumn,New South Wales,1935.7,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Phishing,$50.00,2
1/1/2024,Summer,Victoria,1882,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$1200.00,2
1/4/2024,Autumn,Victoria,1882,Social media/Online forums,65 and over,Male,Attempts to gain your personal information,Phishing,$9000.00,2
1/6/2024,Winter,Victoria,1882,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$34206.00,3
1/2/2024,Summer,Victoria,1882,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$200.00,2
1/6/2024,Winter,Victoria,1882,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$1000.00,2
1/1/2024,Summer,Victoria,1882,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$2225.00,3
1/4/2024,Autumn,Victoria,1882,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$63.92,2
1/1/2024,Summer,Queensland,1901,Internet,35 - 44,Male,Attempts to gain your personal information,Phishing,$30000.00,2
1/2/2024,Summer,Queensland,1901,Internet,65 and over,Female,Attempts to gain your personal information,Phishing,$5900.00,3
1/4/2024,Autumn,Queensland,1901,Internet,55 - 64,Female,Attempts to gain your personal information,Phishing,$4802.00,2
1/4/2024,Autumn,Queensland,1901,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,$14700.00,3
1/1/2024,Summer,Queensland,1901,Mobile apps,65 and over,Female,Attempts to gain your personal information,Phishing,$3635.00,2
1/5/2024,Autumn,Queensland,1901,Mobile apps,55 - 64,Female,Attempts to gain your personal information,Phishing,$1010.88,2
1/3/2024,Autumn,Queensland,1901,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Phishing,$3.08,2
1/6/2024,Winter,Queensland,1901,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Phishing,$2070.94,2
1/1/2024,Summer,Queensland,1901,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$2.00,2
1/6/2024,Winter,Western Australia,2094.3,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Phishing,$2000.00,2
1/2/2024,Summer,Western Australia,2094.3,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,$10000.00,2
1/6/2024,Winter,Western Australia,2094.3,Internet,45 - 54,Male,Attempts to gain your personal information,Phishing,$3.01,2
1/4/2024,Autumn,South Australia,1776.9,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Phishing,$400.00,2
1/1/2024,Summer,South Australia,1776.9,Internet,18 - 24,Male,Attempts to gain your personal information,Phishing,$85.00,2
1/6/2024,Winter,South Australia,1776.9,Internet,45 - 54,Female,Attempts to gain your personal information,Phishing,$85.00,2
1/4/2024,Autumn,Victoria,1882,In person,65 and over,Female,Attempts to gain your personal information,Identity theft,$300.00,3
1/4/2024,Autumn,Victoria,1882,In person,25 - 34,Male,Attempts to gain your personal information,Identity theft,$10500.00,2
1/3/2024,Autumn,Victoria,1882,Mail,65 and over,Female,Attempts to gain your personal information,Identity theft,$1523.43,2
1/1/2024,Summer,New South Wales,1935.7,Mail,35 - 44,Female,Attempts to gain your personal information,Identity theft,$3000.00,2
1/1/2024,Summer,New South Wales,1935.7,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$19000.00,2
1/5/2024,Autumn,New South Wales,1935.7,Mobile apps,35 - 44,Male,Attempts to gain your personal information,Identity theft,$6200.00,3
1/5/2024,Autumn,New South Wales,1935.7,Mobile apps,25 - 34,Female,Attempts to gain your personal information,Identity theft,$2000.00,2
1/2/2024,Summer,Queensland,1901,Social media/Online forums,18 - 24,Female,Attempts to gain your personal information,Identity theft,$100.00,2
1/4/2024,Autumn,Queensland,1901,Social media/Online forums,35 - 44,Female,Attempts to gain your personal information,Identity theft,$240.00,2
1/5/2024,Autumn,Queensland,1901,Social media/Online forums,55 - 64,Female,Attempts to gain your personal information,Identity theft,$100.00,5
1/1/2024,Summer,Victoria,1882,Social media/Online forums,35 - 44,Male,Attempts to gain your personal information,Identity theft,$500.00,3
1/2/2024,Summer,Victoria,1882,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Identity theft,$650.00,2
1/2/2024,Summer,Victoria,1882,Social media/Online forums,45 - 54,Male,Attempts to gain your personal information,Identity theft,$100.00,2
1/5/2024,Autumn,Victoria,1882,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Identity theft,$500.00,2
1/3/2024,Autumn,Victoria,1882,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Identity theft,$600.00,2
1/1/2024,Summer,Victoria,1882,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Identity theft,$400.00,6
1/6/2024,Winter,Victoria,1882,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Identity theft,$500.00,2
1/1/2024,Summer,New South Wales,1935.7,Social media/Online forums,25 - 34,Male,Attempts to gain your personal information,Identity theft,$100.00,2
1/3/2024,Autumn,New South Wales,1935.7,Social media/Online forums,65 and over,Male,Attempts to gain your personal information,Identity theft,$1050.00,3
1/6/2024,Winter,New South Wales,1935.7,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Identity theft,$196.90,2
1/3/2024,Autumn,New South Wales,1935.7,Social media/Online forums,25 - 34,Female,Attempts to gain your personal information,Identity theft,$100.00,3
1/3/2024,Autumn,Victoria,1882,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$12211.27,2
1/4/2024,Autumn,Victoria,1882,Internet,55 - 64,Male,Attempts to gain your personal information,Identity theft,$25000.00,3
1/5/2024,Autumn,Victoria,1882,Internet,55 - 64,Male,Attempts to gain your personal information,Identity theft,$350.00,2
1/5/2024,Autumn,Victoria,1882,Internet,65 and over,Female,Attempts to gain your personal information,Identity theft,$147.65,2
1/3/2024,Autumn,Victoria,1882,Internet,25 - 34,Female,Attempts to gain your personal information,Identity theft,$85.00,2
1/3/2024,Autumn,Queensland,1901,Internet,65 and over,Male,Attempts to gain your personal information,Identity theft,$127.55,3
1/2/2024,Summer,Queensland,1901,Internet,35 - 44,Female,Attempts to gain your personal information,Identity theft,$3.75,2
1/6/2024,Winter,Queensland,1901,Internet,Under 18,Female,Attempts to gain your personal information,Identity theft,$85.01,2
1/5/2024,Autumn,Western Australia,2094.3,Internet,45 - 54,Female,Attempts to gain your personal information,Identity theft,$16030.00,2
1/5/2024,Autumn,South Australia,1776.9,Internet,45 - 54,Male,Attempts to gain your personal information,Identity theft,$148.00,2
1/1/2024,Summer,New South Wales,1935.7,Internet,25 - 34,Male,Attempts to gain your personal information,Identity theft,$1875.00,2
1/5/2024,Autumn,New South Wales,1935.7,Internet,35 - 44,Male,Attempts to gain your personal information,Identity theft,$1603.68,5
