Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
55 - 64,South Australia,1776.9,False billing,Text message,0,4,6.17
65 and over,Victoria,1882,Hacking,Email,0,6,7.69
Under 18,New South Wales,1935.7,Phishing,Text message,0,4,16.92
45 - 54,New South Wales,1935.7,Phishing,Text message,600,73,45.42
35 - 44,New South Wales,1935.7,Jobs and employment,Social media/Online forums,13717,2,2.19
18 - 24,Tasmania,1710.8,Online shopping,Social media/Online forums,370,1,0.5
55 - 64,Victoria,1882,Remote access,Text message,0,2,3.82
65 and over,New South Wales,1935.7,Dating and romance,Email,0,18,6.57
35 - 44,Western Australia,2094.3,Investment,Email,0,1,0.9
65 and over,South Australia,1776.9,Fake charity,In person,0,1,0
18 - 24,New South Wales,1935.7,Identity theft,Text message,0,6,4.23
35 - 44,South Australia,1776.9,Investment,Phone call,0,1,1.02
18 - 24,South Australia,1776.9,Ransomware and malware,Email,0,3,0
35 - 44,Western Australia,2094.3,Phishing,Email,0,2,8.58
25 - 34,New South Wales,2126.5,Online shopping,Internet,217,1,0.11
65 and over,Queensland,1901,Phishing,Text message,0,78,63.87
25 - 34,Victoria,1882,Phishing,Text message,0,12,22.76
35 - 44,Victoria,1882,Identity theft,Text message,758.56,5,5.57
18 - 24,South Australia,1776.9,Health and medical products,Text message,0,1,0
18 - 24,Western Australia,2094.3,Phishing,Text message,0,1,1.39
65 and over,Queensland,1901,inheritance and unexpected money,Mail,0,1,0.93
45 - 54,New South Wales,2126.5,inheritance and unexpected money,Text message,0,2,0
45 - 54,New South Wales,2126.5,Phishing,Phone call,0,2,3.8
45 - 54,New South Wales,2126.5,Hacking,Phone call,0,1,1.05
45 - 54,Western Australia,2094.3,Investment,Email,0,1,1.2
35 - 44,New South Wales,2126.5,Online shopping,Email,3207,1,3.16
65 and over,New South Wales,1935.7,Classified,Phone call,0,4,5.07
65 and over,Queensland,1901,Remote access,Email,0,4,6.37
65 and over,Tasmania,1710.8,"Travel, prizes and lottery",Mail,0,1,0
65 and over,Northern Territory,1845.8,False billing,Email,0,8,6.64
18 - 24,Victoria,1882,Classified,Text message,36,1,2.31
45 - 54,New South Wales,2126.5,Phishing,Phone call,0,3,3.8
35 - 44,Victoria,1882,"Travel, prizes and lottery",Email,0,1,1.9
55 - 64,Victoria,1882,Phishing,Text message,11600,123,59.01
55 - 64,New South Wales,1935.7,Other,Phone call,0,13,5.81
Under 18,Victoria,1882,Online shopping,Social media/Online forums,150,1,1.67
55 - 64,Western Australia,2094.3,Online shopping,Email,0,1,5.58
55 - 64,South Australia,1776.9,Mobile premium services,Text message,0,1,1.24
35 - 44,South Australia,1776.9,Online shopping,Social media/Online forums,50,1,0.9
45 - 54,Queensland,1901,Identity theft,Email,0,1,4.76
45 - 54,Western Australia,2094.3,Online shopping,Social media/Online forums,350.07,4,1.88
55 - 64,Queensland,1901,Investment,Email,0,2,3.31
45 - 54,Victoria,1882,Classified,Phone call,3500,1,3.45
35 - 44,New South Wales,1935.7,Phishing,Internet,0,1,0.06
55 - 64,South Australia,1776.9,Online shopping,Text message,0,2,5.45
65 and over,New South Wales,2126.5,Identity theft,Phone call,0,2,2.97
65 and over,New South Wales,1935.7,False billing,Mail,0,1,4.49
55 - 64,Victoria,1882,Overpayment,Text message,0,2,3.35
45 - 54,Western Australia,2094.3,Classified,Social media/Online forums,3140,3,2.18
25 - 34,New South Wales,1935.7,False billing,Email,2260.06,7,6.54
35 - 44,Northern Territory,1845.8,Phishing,Text message,0,1,0
25 - 34,Queensland,1901,Online shopping,Email,0,1,4.53
65 and over,Western Australia,2094.3,Phishing,Phone call,6600,14,29.02
45 - 54,South Australia,1776.9,Online shopping,Internet,87,1,0.68
45 - 54,Northern Territory,1845.8,Hacking,Email,0,1,0
18 - 24,Queensland,1901,Identity theft,Text message,0,2,3.49
45 - 54,South Australia,1776.9,Remote access,Phone call,0,2,1.13
65 and over,New South Wales,1935.7,Other,Mobile apps,0,3,4.11
25 - 34,South Australia,1776.9,Online shopping,Phone call,0,1,1.65
18 - 24,Western Australia,2094.3,Classified,Mobile apps,0,1,0.19
