Average State Income,Contact Method,Age Group,Scam Type,Amount_lost,Number_of_reports,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Predicted_Number_of_Reports,Actual_Number_of_Reports
1776.9,0.20330402344790835,4.0,0.09272581934452438,0.0,4,0,0,0,1,0,0,0,6.174471848495851,4
1882.0,0.23430144773070433,5.0,0.06510347277733369,0.0,6,0,0,0,0,0,1,0,7.6875521009604375,6
1935.7,0.20330402344790835,6.0,0.09965361044497735,0.0,4,1,0,0,0,0,0,0,16.91866726796217,4
1935.7,0.20330402344790835,3.0,0.09965361044497735,600.0,73,1,0,0,0,0,0,0,45.41603835356829,73
1935.7,0.14175326405542232,2.0,0.028244071409539037,13717.0,2,1,0,0,0,0,0,0,2.1931047290243844,2
1710.8,0.14175326405542232,0.0,0.09761080024868994,370.0,1,0,0,0,0,1,0,0,0.49700024483031724,1
1882.0,0.20330402344790835,4.0,0.045607958077982055,0.0,2,0,0,0,0,0,1,0,3.822569924192854,2
1935.7,0.23430144773070433,5.0,0.03543831601385558,0.0,18,1,0,0,0,0,0,0,6.570560479608492,18
2094.3,0.23430144773070433,2.0,0.05733191224797939,0.0,1,0,0,0,0,0,0,1,0.8981260238756013,1
1776.9,0.02602362554400924,5.0,0.008837374544808598,0.0,1,0,0,0,1,0,0,0,-0.1482007982822333,1
1935.7,0.20330402344790835,0.0,0.08775202060573763,0.0,6,1,0,0,0,0,0,0,4.228365013389879,6
1776.9,0.19690913935518253,2.0,0.05733191224797939,0.0,1,0,0,0,1,0,0,0,1.019146972628583,1
1776.9,0.23430144773070433,0.0,0.016653343991473488,0.0,3,0,0,0,1,0,0,0,-0.32584853621441606,3
2094.3,0.23430144773070433,2.0,0.09965361044497735,0.0,2,0,0,0,0,0,0,1,8.581976976927765,2
2126.5,0.09960920152766675,1.0,0.09761080024868994,217.0,1,0,0,0,0,0,0,0,0.11416267934964297,1
1901.0,0.20330402344790835,5.0,0.09965361044497735,0.0,78,0,0,1,0,0,0,0,63.86539707910565,78
1882.0,0.20330402344790835,1.0,0.09965361044497735,0.0,12,0,0,0,0,0,1,0,22.762232391579403,12
1882.0,0.20330402344790835,2.0,0.08775202060573763,758.56,5,0,0,0,0,0,1,0,5.56622200706657,5
1776.9,0.20330402344790835,0.0,0.02375877076116884,0.0,1,0,0,0,1,0,0,0,-0.30023991710488546,1
2094.3,0.20330402344790835,0.0,0.09965361044497735,0.0,1,0,0,0,0,0,0,1,1.393726236566076,1
1901.0,0.033084643396394,5.0,0.024202859934274804,0.0,1,0,0,1,0,0,0,0,0.9276888102974842,1
2126.5,0.20330402344790835,3.0,0.024202859934274804,0.0,2,0,0,0,0,0,0,0,-0.3277737310218623,2
2126.5,0.19690913935518253,3.0,0.09965361044497735,0.0,2,0,0,0,0,0,0,0,3.800464684325631,2
2126.5,0.19690913935518253,3.0,0.06510347277733369,0.0,1,0,0,0,0,0,0,0,1.0502972476140189,1
2094.3,0.23430144773070433,3.0,0.05733191224797939,0.0,1,0,0,0,0,0,0,1,1.2019598621165122,1
2126.5,0.23430144773070433,2.0,0.09761080024868994,3207.0,1,0,0,0,0,0,0,0,3.1577584756869492,1
1935.7,0.19690913935518253,5.0,0.07287503330668799,0.0,4,1,0,0,0,0,0,0,5.069080756222771,4
1901.0,0.23430144773070433,5.0,0.045607958077982055,0.0,4,0,0,1,0,0,0,0,6.3706186555438595,4
1710.8,0.033084643396394,5.0,0.027267075228705924,0.0,1,0,0,0,0,1,0,0,-0.9079763334597126,1
1845.8,0.23430144773070433,5.0,0.09272581934452438,0.0,8,0,1,0,0,0,0,0,6.635837614779449,8
1882.0,0.20330402344790835,0.0,0.07287503330668799,36.0,1,0,0,0,0,0,1,0,2.3065951000354947,1
2126.5,0.19690913935518253,3.0,0.09965361044497735,0.0,3,0,0,0,0,0,0,0,3.800464684325631,3
1882.0,0.23430144773070433,2.0,0.027267075228705924,0.0,1,0,0,0,0,0,1,0,1.9045251589076262,1
1882.0,0.20330402344790835,4.0,0.09965361044497735,11600.0,123,0,0,0,0,0,1,0,59.00872115448155,123
1935.7,0.19690913935518253,4.0,0.09849897859490185,0.0,13,1,0,0,0,0,0,0,5.805974031512008,13
1882.0,0.14175326405542232,6.0,0.09761080024868994,150.0,1,0,0,0,0,0,1,0,1.6651251904897264,1
2094.3,0.23430144773070433,4.0,0.09761080024868994,0.0,1,0,0,0,0,0,0,1,5.578092170773985,1
1776.9,0.20330402344790835,4.0,0.0165201172395417,0.0,1,0,0,0,1,0,0,0,1.2403127021914095,1
1776.9,0.14175326405542232,2.0,0.09761080024868994,50.0,1,0,0,0,1,0,0,0,0.903053661900241,1
1901.0,0.23430144773070433,3.0,0.08775202060573763,0.0,1,0,0,1,0,0,0,0,4.7623827844316375,1
2094.3,0.14175326405542232,3.0,0.09761080024868994,350.07,4,0,0,0,0,0,0,1,1.8795724918194803,4
1901.0,0.23430144773070433,4.0,0.05733191224797939,0.0,2,0,0,1,0,0,0,0,3.309264337106331,2
1882.0,0.19690913935518253,3.0,0.07287503330668799,3500.0,1,0,0,0,0,0,1,0,3.4477568162673253,1
1935.7,0.09960920152766675,2.0,0.09965361044497735,0.0,1,1,0,0,0,0,0,0,0.06081496315021066,1
1776.9,0.20330402344790835,4.0,0.09761080024868994,0.0,2,0,0,0,1,0,0,0,5.445026669279162,2
2126.5,0.19690913935518253,5.0,0.08775202060573763,0.0,2,0,0,0,0,0,0,0,2.965444940602682,2
1935.7,0.033084643396394,5.0,0.09272581934452438,0.0,1,1,0,0,0,0,0,0,4.486173433107999,1
1882.0,0.20330402344790835,4.0,0.02655653255173639,0.0,2,0,0,0,0,0,1,0,3.347771305264035,2
2094.3,0.14175326405542232,3.0,0.07287503330668799,3140.0,3,0,0,0,0,0,0,1,2.1810926083966367,3
1935.7,0.23430144773070433,1.0,0.09272581934452438,2260.06,7,1,0,0,0,0,0,0,6.536816059077157,7
1845.8,0.20330402344790835,2.0,0.09965361044497735,0.0,1,0,1,0,0,0,0,0,0.002091137996409531,1
1901.0,0.23430144773070433,1.0,0.09761080024868994,0.0,1,0,0,1,0,0,0,0,4.529696805886278,1
2094.3,0.19690913935518253,5.0,0.09965361044497735,6600.0,14,0,0,0,0,0,0,1,29.018244277140955,14
1776.9,0.09960920152766675,3.0,0.09761080024868994,87.0,1,0,0,0,1,0,0,0,0.6847653548037447,1
1845.8,0.23430144773070433,3.0,0.06510347277733369,0.0,1,0,1,0,0,0,0,0,-0.5394234890275563,1
1901.0,0.20330402344790835,0.0,0.08775202060573763,0.0,2,0,0,1,0,0,0,0,3.490131245389779,2
1776.9,0.19690913935518253,3.0,0.045607958077982055,0.0,2,0,0,0,1,0,0,0,1.1315388177240313,2
