Average State Income,Contact Method,Age Group,Gender,Scam Category,Scam Type,Amount_lost,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Actual_Number_of_Reports,Predicted_Number_of_Reports
1776.9,0.20330402344790835,5.0,1,0.33195665689670484,0.09272581934452438,,0,0,0,1,0,0,0,4,5.750535714285713
1882.0,0.23430144773070433,6.0,0,0.2981170619060307,0.06510347277733369,,0,0,0,0,0,1,0,6,8.948999999999998
1935.7,0.20330402344790835,0.0,0,0.2981170619060307,0.09965361044497735,,1,0,0,0,0,0,0,4,1.241242424242424
1935.7,0.20330402344790835,4.0,0,0.2981170619060307,0.09965361044497735,600.0,1,0,0,0,0,0,0,73,79.20311904761905
1935.7,0.14175326405542232,3.0,0,0.030375699440447643,0.028244071409539037,13717.0,1,0,0,0,0,0,0,2,2.08
1710.8,0.14175326405542232,1.0,1,0.33195665689670484,0.09761080024868994,370.0,0,0,0,0,1,0,0,1,1.79
1882.0,0.20330402344790835,5.0,0,0.2981170619060307,0.045607958077982055,,0,0,0,0,0,1,0,2,1.203888888888889
1935.7,0.23430144773070433,6.0,1,0.03543831601385558,0.03543831601385558,,1,0,0,0,0,0,0,18,7.832297619047619
2094.3,0.23430144773070433,3.0,1,0.06306066258104627,0.05733191224797939,,0,0,0,0,0,0,1,1,1.2509285714285714
1776.9,0.02602362554400924,6.0,1,0.008837374544808598,0.008837374544808598,,0,0,0,1,0,0,0,1,1.2513333333333332
1935.7,0.20330402344790835,1.0,1,0.2981170619060307,0.08775202060573763,0.0,1,0,0,0,0,0,0,6,3.3043452380952387
1776.9,0.19690913935518253,3.0,1,0.06306066258104627,0.05733191224797939,,0,0,0,1,0,0,0,1,1.0
1776.9,0.23430144773070433,1.0,1,0.049737987387867486,0.016653343991473488,,0,0,0,1,0,0,0,3,1.0626666666666666
2094.3,0.23430144773070433,3.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,0,0,0,1,2,5.271095238095237
