Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
55 - 64,South Australia,1776.9,False billing,Text message,,4,5.75
65 and over,Victoria,1882.0,Hacking,Email,,6,8.95
Under 18,New South Wales,1935.7,Phishing,Text message,,4,1.24
45 - 54,New South Wales,1935.7,Phishing,Text message,600.0,73,79.2
35 - 44,New South Wales,1935.7,Jobs and employment,Social media/Online forums,13717.0,2,2.08
18 - 24,Tasmania,1710.8,Online shopping,Social media/Online forums,370.0,1,1.79
55 - 64,Victoria,1882.0,Remote access,Text message,,2,1.2
65 and over,New South Wales,1935.7,Dating and romance,Email,,18,7.83
35 - 44,Western Australia,2094.3,Investment,Email,,1,1.25
65 and over,South Australia,1776.9,Fake charity,In person,,1,1.25
18 - 24,New South Wales,1935.7,Identity theft,Text message,0.0,6,3.3
35 - 44,South Australia,1776.9,Investment,Phone call,,1,1.0
18 - 24,South Australia,1776.9,Ransomware and malware,Email,,3,1.06
35 - 44,Western Australia,2094.3,Phishing,Email,,2,5.27
25 - 34,New South Wales,2126.5,Online shopping,Internet,217.0,1,1.85
65 and over,Queensland,1901.0,Phishing,Text message,,78,116.1
25 - 34,Victoria,1882.0,Phishing,Text message,,12,15.95
35 - 44,Victoria,1882.0,Identity theft,Text message,758.56,5,4.68
18 - 24,South Australia,1776.9,Health and medical products,Text message,,1,1.09
18 - 24,Western Australia,2094.3,Phishing,Text message,,1,1.69
65 and over,Queensland,1901.0,inheritance and unexpected money,Mail,,1,1.39
45 - 54,New South Wales,2126.5,inheritance and unexpected money,Text message,,2,1.73
45 - 54,New South Wales,2126.5,Phishing,Phone call,,2,2.21
45 - 54,New South Wales,2126.5,Hacking,Phone call,,1,1.16
45 - 54,Western Australia,2094.3,Investment,Email,,1,1.05
35 - 44,New South Wales,2126.5,Online shopping,Email,3207.0,1,1.38
65 and over,New South Wales,1935.7,Classified,Phone call,,4,1.59
65 and over,Queensland,1901.0,Remote access,Email,,4,3.58
65 and over,Tasmania,1710.8,"Travel, prizes and lottery",Mail,,1,1.31
65 and over,Northern Territory,1845.8,False billing,Email,,8,1.87
18 - 24,Victoria,1882.0,Classified,Text message,36.0,1,1.8
45 - 54,New South Wales,2126.5,Phishing,Phone call,,3,3.52
35 - 44,Victoria,1882.0,"Travel, prizes and lottery",Email,,1,1.29
55 - 64,Victoria,1882.0,Phishing,Text message,11600.0,123,75.34
55 - 64,New South Wales,1935.7,Other,Phone call,,13,14.61
Under 18,Victoria,1882.0,Online shopping,Social media/Online forums,150.0,1,2.03
55 - 64,Western Australia,2094.3,Online shopping,Email,,1,3.36
55 - 64,South Australia,1776.9,Mobile premium services,Text message,,1,1.05
35 - 44,South Australia,1776.9,Online shopping,Social media/Online forums,50.0,1,2.05
45 - 54,Queensland,1901.0,Identity theft,Email,,1,3.16
45 - 54,Western Australia,2094.3,Online shopping,Social media/Online forums,350.07,4,1.68
55 - 64,Queensland,1901.0,Investment,Email,0.0,2,1.77
45 - 54,Victoria,1882.0,Classified,Phone call,3500.0,1,2.87
35 - 44,New South Wales,1935.7,Phishing,Internet,,1,1.39
55 - 64,South Australia,1776.9,Online shopping,Text message,,2,1.25
65 and over,New South Wales,2126.5,Identity theft,Phone call,0.0,2,2.33
65 and over,New South Wales,1935.7,False billing,Mail,,1,1.47
55 - 64,Victoria,1882.0,Overpayment,Text message,,2,1.31
45 - 54,Western Australia,2094.3,Classified,Social media/Online forums,3140.0,3,4.67
25 - 34,New South Wales,1935.7,False billing,Email,2260.06,7,5.8
35 - 44,Northern Territory,1845.8,Phishing,Text message,,1,1.8
25 - 34,Queensland,1901.0,Online shopping,Email,0.0,1,1.74
65 and over,Western Australia,2094.3,Phishing,Phone call,6600.0,14,13.19
45 - 54,South Australia,1776.9,Online shopping,Internet,87.0,1,1.84
45 - 54,Northern Territory,1845.8,Hacking,Email,,1,1.2
18 - 24,Queensland,1901.0,Identity theft,Text message,,2,2.85
45 - 54,South Australia,1776.9,Remote access,Phone call,0.0,2,1.46
65 and over,New South Wales,1935.7,Other,Mobile apps,,3,1.14
25 - 34,South Australia,1776.9,Online shopping,Phone call,,1,1.03
18 - 24,Western Australia,2094.3,Classified,Mobile apps,,1,1.0
45 - 54,Tasmania,1710.8,Remote access,Email,13000.0,2,2.53
55 - 64,Victoria,1882.0,Remote access,Phone call,0.0,4,2.64
65 and over,Queensland,1901.0,Dating and romance,Mobile apps,,1,1.06
55 - 64,Queensland,1901.0,Phishing,Phone call,539.0,9,12.7
55 - 64,Victoria,1882.0,Classified,Internet,22.5,1,1.26
35 - 44,Victoria,1882.0,Other,Text message,,8,6.58
35 - 44,South Australia,1776.9,Phishing,Phone call,,1,2.81
18 - 24,Queensland,1901.0,Rebate,Text message,,1,1.86
18 - 24,Western Australia,2094.3,Remote access,Phone call,,1,1.08
65 and over,Victoria,1882.0,Other,In person,,1,1.56
65 and over,New South Wales,2126.5,Phishing,Phone call,,4,3.03
65 and over,Queensland,1901.0,"Travel, prizes and lottery",Email,,6,15.15
65 and over,New South Wales,1935.7,Health and medical products,Text message,,2,4.85
Under 18,Victoria,1882.0,Online shopping,Text message,,1,1.09
35 - 44,New South Wales,1935.7,Investment,Social media/Online forums,42850.0,4,4.06
18 - 24,South Australia,1776.9,"Threats to life, arrest or other",Phone call,,1,1.03
35 - 44,Western Australia,2094.3,Hacking,Email,,2,1.12
35 - 44,New South Wales,1935.7,False billing,Phone call,10000.0,6,6.21
65 and over,Tasmania,1710.8,Hacking,Email,,2,1.85
55 - 64,Queensland,1901.0,Investment,In person,12500.0,1,1.84
35 - 44,South Australia,1776.9,Phishing,Phone call,186000.0,2,5.92
65 and over,South Australia,1776.9,"Travel, prizes and lottery",Email,,1,1.24
55 - 64,New South Wales,1935.7,Rebate,Email,,6,4.59
45 - 54,Victoria,1882.0,Jobs and employment,Internet,,1,1.26
65 and over,New South Wales,1935.7,Dating and romance,Email,,1,5.86
55 - 64,Queensland,1901.0,Other,Internet,529.16,2,1.48
35 - 44,South Australia,1776.9,Online shopping,Email,3098.6,3,2.01
55 - 64,New South Wales,1935.7,Investment,Social media/Online forums,2377.17,3,2.91
45 - 54,Western Australia,2094.3,Overpayment,Email,,1,1.13
65 and over,Queensland,1901.0,Phishing,Internet,,1,1.45
25 - 34,Queensland,1901.0,Identity theft,Mail,,1,1.23
55 - 64,Queensland,1901.0,Ransomware and malware,Email,,4,2.99
65 and over,Northern Territory,1845.8,Phishing,Email,,8,13.31
65 and over,Western Australia,2094.3,False billing,Email,3973.75,22,22.93
45 - 54,New South Wales,1935.7,False billing,Text message,,22,18.47
35 - 44,Northern Territory,1845.8,Rebate,Email,0.0,1,1.17
65 and over,New South Wales,1935.7,Investment,Phone call,828209.0,5,5.75
65 and over,South Australia,1776.9,Identity theft,Phone call,,1,2.05
65 and over,Tasmania,1710.8,Other,Email,,2,1.85
65 and over,Queensland,1901.0,Classified,Mobile apps,,1,1.17
18 - 24,New South Wales,1935.7,Remote access,Phone call,,1,1.03
45 - 54,Western Australia,2094.3,Remote access,Email,,1,1.08
25 - 34,Tasmania,1710.8,Other,Internet,,1,1.06
45 - 54,Queensland,1901.0,"Travel, prizes and lottery",Text message,,3,2.34
18 - 24,Western Australia,2094.3,Hacking,Phone call,745.77,1,1.45
35 - 44,Queensland,1901.0,Classified,Phone call,4665.0,1,3.02
55 - 64,New South Wales,1935.7,Phishing,Mobile apps,,1,1.09
25 - 34,Victoria,1882.0,Online shopping,Mobile apps,0.0,1,1.13
35 - 44,New South Wales,1935.7,Other,Phone call,,12,9.14
65 and over,Victoria,1882.0,False billing,Email,,29,48.96
65 and over,Queensland,1901.0,Betting and sports investment,Email,,1,1.6
35 - 44,New South Wales,1935.7,Hacking,Email,157.0,4,6.2
25 - 34,South Australia,1776.9,Identity theft,Internet,,1,1.04
45 - 54,Victoria,1882.0,Other,In person,,2,1.72
65 and over,Northern Territory,1845.8,Online shopping,Internet,,1,1.24
45 - 54,Victoria,1882.0,False billing,Text message,,46,14.1
18 - 24,Queensland,1901.0,"Travel, prizes and lottery",Social media/Online forums,74.0,1,1.14
45 - 54,Victoria,1882.0,False billing,Text message,,9,18.68
65 and over,Victoria,1882.0,False billing,Mail,0.0,1,1.1
45 - 54,New South Wales,2126.5,Remote access,Phone call,,1,1.45
18 - 24,New South Wales,2126.5,Classified,Social media/Online forums,1266.5,3,1.23
45 - 54,South Australia,1776.9,Other,Mobile apps,,1,1.03
45 - 54,Western Australia,2094.3,Classified,Text message,0.0,1,1.42
35 - 44,Queensland,1901.0,Other,Internet,,1,1.12
65 and over,Victoria,1882.0,Online shopping,Email,118.09,10,10.48
55 - 64,New South Wales,1935.7,Rebate,Text message,0.0,1,4.75
18 - 24,New South Wales,1935.7,Identity theft,Phone call,,2,2.13
45 - 54,Victoria,1882.0,Online shopping,Internet,808.67,5,6.21
65 and over,New South Wales,1935.7,Other,Social media/Online forums,,2,1.36
65 and over,New South Wales,1935.7,inheritance and unexpected money,Phone call,,1,1.87
55 - 64,Western Australia,2094.3,Health and medical products,Phone call,,1,1.05
35 - 44,Queensland,1901.0,Hacking,Mail,,1,1.28
65 and over,Queensland,1901.0,Phishing,Mail,,1,1.01
25 - 34,Western Australia,2094.3,Identity theft,Text message,,1,2.1
18 - 24,New South Wales,1935.7,Online shopping,Email,198.15,3,1.65
25 - 34,New South Wales,1935.7,Classified,Mobile apps,350.0,1,1.38
65 and over,Victoria,1882.0,False billing,Internet,,3,1.51
18 - 24,South Australia,1776.9,Phishing,Text message,,6,1.77
55 - 64,Victoria,1882.0,Health and medical products,Social media/Online forums,339.75,1,1.38
45 - 54,Victoria,1882.0,Classified,Mobile apps,,1,1.44
55 - 64,Queensland,1901.0,"Travel, prizes and lottery",Social media/Online forums,,1,1.7
Under 18,New South Wales,1935.7,False billing,Text message,,1,1.19
25 - 34,South Australia,1776.9,Online shopping,Social media/Online forums,153.7,2,2.56
18 - 24,New South Wales,2126.5,"Threats to life, arrest or other",Email,,1,1.08
35 - 44,Queensland,1901.0,Other,Social media/Online forums,,1,1.67
45 - 54,New South Wales,1935.7,Phishing,Email,,31,31.69
55 - 64,Queensland,1901.0,"Travel, prizes and lottery",Email,,1,2.54
35 - 44,South Australia,1776.9,Online shopping,Internet,194.68,5,3.03
55 - 64,Queensland,1901.0,Classified,Text message,1200.0,2,3.18
35 - 44,South Australia,1776.9,Phishing,Email,,1,1.91
65 and over,Queensland,1901.0,False billing,Text message,0.0,15,34.06
65 and over,Victoria,1882.0,Overpayment,Email,,6,2.64
55 - 64,Victoria,1882.0,Online shopping,Phone call,,2,1.26
45 - 54,New South Wales,1935.7,Phishing,Social media/Online forums,,1,1.94
65 and over,Queensland,1901.0,Phishing,Phone call,20000.0,25,26.52
65 and over,Queensland,1901.0,Hacking,Phone call,,3,4.09
35 - 44,Western Australia,2094.3,False billing,Phone call,,1,2.37
65 and over,Western Australia,2094.3,Other,Mail,,1,1.27
18 - 24,New South Wales,1935.7,Identity theft,Mobile apps,,1,1.17
45 - 54,Western Australia,2094.3,Online shopping,Internet,1100.0,2,3.03
65 and over,South Australia,1776.9,Phishing,Social media/Online forums,16.39,1,1.24
35 - 44,South Australia,1776.9,Classified,Email,0.0,1,1.16
18 - 24,Western Australia,2094.3,Online shopping,Social media/Online forums,60.9,1,1.61
35 - 44,New South Wales,2126.5,Phishing,Text message,,6,7.4
35 - 44,Western Australia,2094.3,Other,Mail,0.0,1,1.15
25 - 34,Queensland,1901.0,"Travel, prizes and lottery",Email,,1,1.63
55 - 64,Victoria,1882.0,Classified,Text message,,1,1.31
35 - 44,Tasmania,1710.8,Rebate,Text message,0.0,1,1.09
65 and over,Queensland,1901.0,Dating and romance,Internet,0.0,1,1.31
65 and over,New South Wales,1935.7,Ransomware and malware,Email,,5,3.67
35 - 44,Victoria,1882.0,Other,Internet,89.0,2,1.74
55 - 64,Western Australia,2094.3,Remote access,Internet,,1,1.03
55 - 64,Tasmania,1710.8,Investment,Social media/Online forums,380.0,1,1.42
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Mobile apps,251181.81,1,1.55
65 and over,New South Wales,2126.5,Hacking,Email,,2,1.7
35 - 44,Victoria,1882.0,"Travel, prizes and lottery",Phone call,,1,1.01
45 - 54,Western Australia,2094.3,Identity theft,Internet,,1,1.04
25 - 34,New South Wales,1935.7,Jobs and employment,Mobile apps,3100.0,3,2.14
65 and over,Western Australia,2094.3,Classified,Text message,,1,1.04
35 - 44,Queensland,1901.0,Classified,Social media/Online forums,7145.0,7,5.51
18 - 24,Queensland,1901.0,inheritance and unexpected money,Text message,,1,1.04
45 - 54,Western Australia,2094.3,Remote access,Email,,2,1.08
55 - 64,Northern Territory,1845.8,Phishing,Email,0.0,4,2.37
55 - 64,Tasmania,1710.8,Phishing,Email,0.0,37,26.96
45 - 54,South Australia,1776.9,Identity theft,Email,,1,1.27
35 - 44,New South Wales,2126.5,Identity theft,Phone call,,1,1.23
55 - 64,New South Wales,1935.7,Online shopping,Email,901.0,4,7.05
55 - 64,New South Wales,1935.7,Classified,Phone call,0.0,1,2.3
18 - 24,Queensland,1901.0,"Travel, prizes and lottery",Mobile apps,,1,1.12
45 - 54,New South Wales,1935.7,Other,Text message,,10,8.26
35 - 44,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,,2,1.71
25 - 34,Victoria,1882.0,Identity theft,Text message,,2,3.91
55 - 64,Victoria,1882.0,Hacking,Text message,,1,2.05
45 - 54,Queensland,1901.0,Other,Text message,,3,9.16
Under 18,Victoria,1882.0,False billing,Phone call,,1,1.31
65 and over,New South Wales,1935.7,Identity theft,In person,,1,1.39
